Cancer_type,SMG1,CAMK2B,PIP4K2C,FLT3,BTK,TYRO3,EPHA2,PTK2,ABL1,EPHA5,MAP2K3,ROR2,BCR,SGK2,PCK1,STK31,BUB1
LIHC,0.1958224543080939,0.0652741514360313,0.0652741514360313,0.1305483028720626,0.0,0.1958224543080939,0.2610966057441253,0.3263707571801566,0.1305483028720626,0.1958224543080939,0.1958224543080939,0.3263707571801566,0.1305483028720626,0.0652741514360313,0.1958224543080939,0.2610966057441253,0.1305483028720626
LUAD,0.5810575246949448,0.2324230098779779,0.1355800890954871,0.368003098973465,0.3292659306604687,0.2130544257214797,0.1743172574084834,0.1549486732519852,0.1355800890954871,1.181483633546388,0.0968429207824908,0.600426108851443,0.1936858415649816,0.1162115049389889,0.3873716831299632,0.2905287623474724,0.1936858415649816
LUSC,0.3086419753086419,0.0881834215167548,0.1322751322751322,0.3086419753086419,0.2865961199294532,0.1322751322751322,0.2204585537918871,0.1763668430335097,0.1543209876543209,0.8818342151675485,0.1763668430335097,0.2645502645502645,0.1984126984126984,0.1984126984126984,0.1984126984126984,0.2645502645502645,0.1763668430335097
MESO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0408163265306123,1.020408163265306,0.0,0.0,0.0,0.0,0.0,0.0
OV,0.449438202247191,0.299625468164794,0.0,0.299625468164794,0.2247191011235955,0.149812734082397,0.149812734082397,0.2247191011235955,0.149812734082397,0.3745318352059925,0.0749063670411985,0.2247191011235955,0.299625468164794,0.299625468164794,0.2247191011235955,0.449438202247191,0.0749063670411985
PAAD,0.1703577512776831,0.0,0.1703577512776831,0.3407155025553662,0.1703577512776831,0.0,0.1703577512776831,0.1703577512776831,0.3407155025553662,0.3407155025553662,0.0,0.0,0.1703577512776831,0.0,0.1703577512776831,0.5110732538330494,0.3407155025553662
PCPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRAD,0.0,0.0,0.0,0.1295336787564767,0.1295336787564767,0.1295336787564767,0.38860103626943,0.2590673575129534,0.38860103626943,0.0,0.1295336787564767,0.38860103626943,0.2590673575129534,0.0,0.0,0.0,0.0
READ,0.2846975088967972,0.1423487544483986,0.0,0.1423487544483986,0.1423487544483986,0.2135231316725978,0.0711743772241993,0.2135231316725978,0.2135231316725978,0.5693950177935944,0.0711743772241993,0.1423487544483986,0.2135231316725978,0.2846975088967972,0.2846975088967972,0.3558718861209964,0.1423487544483986
SARC,0.53475935828877,0.35650623885918,0.0,0.0,0.17825311942959,0.17825311942959,0.17825311942959,0.53475935828877,0.35650623885918,0.8912655971479502,0.0,0.0,0.17825311942959,0.0,0.0,0.0,0.0
SKCM,0.2478460993744836,0.0944175616664699,0.0236043904166174,0.4956921987489673,0.2006373185412486,0.1416263424997049,0.2832526849994099,0.1062197568747787,0.2242417089578662,0.1416263424997049,0.1180219520830874,0.3068570754160273,0.2360439041661748,0.1652307329163224,0.2360439041661748,0.7081317124985247,0.1888351233329399
STAD,0.30338783077701,0.0842743974380583,0.0505646384628349,0.1685487948761166,0.1011292769256699,0.1179841564132816,0.4887915051407382,0.1348390359008933,0.151693915388505,0.5562110230911849,0.1854036743637283,0.30338783077701,0.2022585538513399,0.1011292769256699,0.1854036743637283,0.1348390359008933,0.2022585538513399
TGCT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THCA,0.0,0.0,0.2114164904862579,0.0,0.0,0.2114164904862579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THYM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4705882352941175
UCEC,0.4524033930254477,0.1193842287150487,0.0879673264216148,0.2576185988061577,0.219918316054037,0.138234370091109,0.2136349355953503,0.19478479421929,0.19478479421929,0.3455859252277725,0.1508011310084825,0.1822180333019164,0.19478479421929,0.0879673264216148,0.1319509896324222,0.2450518378887841,0.19478479421929
UCS,0.0,0.3460207612456747,0.0,0.0,0.0,0.0,0.0,0.0,0.3460207612456747,1.384083044982699,0.0,0.3460207612456747,0.0,0.3460207612456747,0.3460207612456747,0.3460207612456747,0.0
UVM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
